,Company,Average,Lowest,Highest,Python,aws,sql,keras,pytorch,scikit,tensor,hadoop,tableau,RoleName,Rel-Experience,Total_Exp,Prev-CTC
0,Tech Mahindra,937156.0,418054.0,2335432.0,1,0,0,0,0,0,0,0,1,0,0,4,448317.0
1,Optum,1508702.0,887265.0,2400000.0,1,0,0,0,0,0,0,0,0,0,0,8,1003118.0
2,HCL Technologies,887986.0,416339.0,1926785.0,1,0,0,0,0,0,0,0,0,0,0,3,477401.0
3,Genpact,972181.0,249195.0,2382853.0,1,0,1,0,0,0,0,0,0,0,0,4,655937.0
4,LTI,832677.0,246200.0,2600000.0,1,1,1,0,0,0,0,0,0,0,0,4,613464.0
5,UnitedHealth Group,1361430.0,514511.0,2048386.0,0,0,0,0,0,0,0,0,0,0,0,9,827455.0
6,Embibe,1452596.0,915998.0,2247916.0,1,1,1,0,1,0,1,0,0,0,0,8,1130767.0
7,Reliance Industries,982518.0,500000.0,2743551.0,0,0,0,0,0,0,0,0,0,0,1,3,769687.0
8,ABC,683081.0,197246.0,2041853.0,1,0,0,0,0,0,0,0,0,0,0,3,475452.0
9,Oracle,1531212.0,533108.0,4000000.0,1,0,0,0,0,0,0,0,0,0,0,10,834557.0
11,Nielsen,740158.0,631179.0,1413263.0,0,0,1,0,0,0,0,1,0,0,0,4,349548.0
12,Cyient,1046403.0,155256.0,1646131.0,1,1,1,0,0,0,0,0,1,1,0,6,1092534.0
13,Optum Global Solutions,1408050.0,368188.0,2150000.0,1,0,1,0,0,0,1,0,0,0,0,9,1155667.0
14,DXC Technology,973157.0,415326.0,2000000.0,0,0,0,0,0,0,0,0,0,2,0,4,502670.0
15,EXL Service,1151347.0,610485.0,1661303.0,0,0,0,0,0,0,0,0,0,0,1,5,674487.0
16,HP Inc.,1645967.0,746186.0,2967786.0,1,1,0,0,0,0,0,1,0,0,0,7,932119.0
17,Fresher,600000.0,254016.0,1000000.0,0,0,1,0,0,0,0,0,0,0,1,3,789722.0
18,Verizon,1281310.0,777450.0,2033829.0,1,0,1,1,1,1,1,0,0,0,1,6,1272115.0
20,Tata Consultancy Services (North America),763201.0,193913.0,2502101.0,0,0,0,0,0,0,0,0,0,0,0,4,378838.0
21,Thoucentric,868881.0,562093.0,1537408.0,1,1,1,0,0,0,0,0,0,0,1,3,687388.0
22,Bharti Airtel,2074121.0,1013700.0,2503677.0,1,0,1,0,0,0,0,0,1,0,1,9,1121366.0
23,Fuzzy Logix,1606145.0,576145.0,2328840.0,1,1,0,1,0,0,1,0,0,0,1,10,1252762.0
26,HiLabs,1980830.0,1821265.0,2814280.0,0,0,0,0,0,0,0,0,0,1,1,7,1191704.0
27,Atos-Syntel,904867.0,355025.0,3266964.0,0,1,0,0,0,0,0,0,0,0,0,4,462650.0
28,Myntra,2100379.0,583439.0,2400000.0,1,0,1,0,0,0,0,0,0,0,0,9,1143962.0
29,Walmart,2508786.0,1983692.0,3830994.0,1,0,0,0,0,0,0,0,0,0,1,7,1283103.0
30,Nagarro,1083115.0,426392.0,2185778.0,1,0,1,0,0,0,0,0,0,0,0,5,647149.0
31,AlgoAnalytics Financial Consultancy,770714.0,512808.0,1127515.0,1,0,0,0,1,1,0,0,0,0,1,4,702749.0
32,Bajaj Finance,1225112.0,196367.0,2443413.0,1,0,1,1,0,1,1,0,0,0,1,6,1133804.0
34,OYO,1300000.0,800000.0,2189339.0,1,0,1,0,0,0,0,0,1,1,0,10,1171634.0
35,Innominds Software,813024.0,539500.0,1219277.0,1,1,0,0,0,0,0,1,1,0,1,4,622208.0
36,Gramener,876841.0,812852.0,1436623.0,1,0,1,0,1,1,1,1,0,0,0,3,462310.0
37,Mercedes-Benz Research and Development India,1368504.0,714648.0,2123120.0,1,0,0,0,0,0,0,0,0,0,1,7,1246519.0
38,ABB,1110094.0,749305.0,1750316.0,1,0,1,0,0,0,0,0,0,2,0,6,997489.0
39,Housing.com,2119156.0,999578.0,2542988.0,1,1,1,0,0,0,0,0,1,1,1,8,1268688.0
40,Applied Data Finance,954982.0,514229.0,1600000.0,0,0,1,0,0,0,0,0,0,2,1,4,686108.0
41,NeenOpal,693349.0,368415.0,1219277.0,0,0,0,0,0,0,0,0,0,0,0,4,367000.0
42,Mastercard,2200255.0,200000.0,4096773.0,0,1,0,0,0,0,0,0,0,0,0,8,1151334.0
43,Fidelity Investments,2226029.0,1730517.0,3340698.0,1,0,1,0,0,1,0,1,1,0,0,10,1168486.0
45,[24]7.ai,1724231.0,1023374.0,2259250.0,1,0,1,0,0,0,0,0,1,0,1,7,1279678.0
46,Sigmoid,1349809.0,1117373.0,1828917.0,0,0,0,0,0,0,0,0,0,1,0,9,1075982.0
47,Affine,1051965.0,646587.0,2238274.0,0,0,0,0,0,0,0,0,0,0,0,5,348996.0
48,Brillio,1633628.0,999578.0,4292018.0,0,0,0,0,0,0,0,0,1,0,0,10,1138704.0
49,Blackstraw,1018490.0,360000.0,2332349.0,1,0,1,0,0,0,0,1,1,0,1,6,1275757.0
50,Innovaccer,1291000.0,658452.0,2743374.0,1,0,0,0,0,0,0,0,0,0,1,6,1210994.0
51,ThinkBumblebee Analytics,1114185.0,541558.0,1741129.0,1,0,0,0,0,0,0,0,1,0,1,6,1233298.0
52,DONE by NONE,631179.0,152632.0,2100000.0,1,0,1,0,0,0,0,0,0,0,1,3,694851.0
53,Citi,1687563.0,809132.0,2500000.0,0,0,1,0,0,0,0,0,1,0,0,10,809559.0
54,Lumiq (India),800000.0,631179.0,1668068.0,1,0,0,0,0,0,0,0,0,0,1,3,695052.0
55,NTT DATA,623893.0,318468.0,2143945.0,1,0,0,0,0,0,1,0,0,0,1,4,680967.0
56,Micron Technology,1578233.0,1000000.0,3114943.0,1,0,1,1,0,1,1,0,0,0,0,9,894510.0
57,Aaum Research and Analytics,486991.0,213552.0,1531389.0,0,0,0,0,0,0,0,0,0,0,1,2,156149.0
59,Antuit,1262461.0,641783.0,2000000.0,1,1,1,0,0,0,0,0,1,0,0,5,554946.0
60,Novartis,1436376.0,740042.0,3426438.0,1,1,1,0,0,0,0,1,1,0,0,9,900667.0
61,Cisco Systems,1584678.0,921037.0,2000000.0,0,0,1,0,0,0,0,0,0,0,0,10,918774.0
62,IQVIA,883421.0,480956.0,1433871.0,0,0,0,0,1,0,1,0,0,0,1,3,636061.0
63,Quadratic Insights,607969.0,371386.0,1616467.0,1,0,1,0,0,0,0,0,0,0,1,4,620228.0
64,Mindtree,1104063.0,200000.0,2500000.0,1,0,1,1,1,1,0,0,0,0,0,5,455080.0
65,Jotter,916228.0,700000.0,1071332.0,1,0,1,0,0,0,0,0,1,0,1,4,626513.0
66,Dell Technologies,1335067.0,726700.0,2356401.0,1,1,1,0,0,0,0,1,0,0,0,9,1066176.0
67,CitiusTech,865598.0,215529.0,1943624.0,0,0,0,0,0,0,0,0,0,0,0,3,582995.0
68,Siemens,1024465.0,530780.0,2274542.0,1,0,0,0,0,0,0,0,1,1,0,5,687262.0
70,Valiance Solutions,915335.0,532467.0,1554899.0,0,0,0,0,0,0,0,0,0,0,1,4,609895.0
71,SPi Global,797390.0,194613.0,890072.0,1,0,1,0,0,0,0,1,0,0,1,4,773520.0
72,Legato Health Technologies,1353101.0,508032.0,3500000.0,1,0,0,0,0,0,1,0,0,0,0,7,976562.0
73,NielsenIQ,1008482.0,615008.0,1561270.0,0,1,1,0,0,1,1,0,0,0,0,6,1124027.0
74,Intel Corporation,1557472.0,666385.0,2972368.0,1,1,0,1,0,1,1,1,0,0,1,7,1134354.0
75,VMock,1557472.0,1300838.0,2085085.0,0,1,0,0,0,0,0,0,0,0,0,9,1113130.0
76,eClerx,758181.0,589973.0,1262358.0,1,0,0,0,0,1,0,1,0,0,1,4,698754.0
77,Intellect Design Arena,1009886.0,357668.0,1800000.0,1,0,0,0,0,0,0,0,0,0,1,6,1140437.0
78,Enquero,974804.0,600000.0,1536388.0,1,0,1,0,0,0,0,0,0,0,1,3,642532.0
79,Virtusa,488388.0,192159.0,950000.0,0,0,0,0,0,0,0,0,0,1,0,1,147407.0
81,Tredence,1409964.0,946769.0,1918763.0,0,0,1,0,0,0,0,0,0,1,0,10,1127544.0
82,Sprinklr,1842074.0,399831.0,3435402.0,1,1,1,0,0,0,0,0,0,2,0,8,886791.0
83,Paytm,1845024.0,358755.0,4082858.0,0,0,0,0,0,0,0,0,0,1,1,7,1289054.0
84,Scienaptic Systems,1332517.0,156141.0,2189354.0,0,0,1,0,0,0,0,1,0,0,1,9,1214734.0
85,XYZ,1000000.0,450000.0,2776606.0,1,1,1,0,1,0,1,0,0,0,1,6,1111454.0
86,Zensar Technologies,1229032.0,530752.0,1665963.0,1,0,1,0,0,0,0,1,0,0,1,6,1207705.0
87,Bharat Light & Power,841572.0,578581.0,2562534.0,0,0,1,0,0,0,0,1,0,0,0,4,490997.0
88,Algoscale,666385.0,509245.0,860322.0,0,0,1,0,0,0,0,0,0,1,0,3,654608.0
89,Happiest Minds Technologies,1090230.0,717509.0,1366090.0,0,0,0,0,0,0,0,0,0,0,1,6,1288636.0
90,Subex,1016064.0,304760.0,2221285.0,1,0,1,0,0,0,0,0,0,0,0,5,424534.0
91,Octro,862116.0,587267.0,1592340.0,0,0,0,0,0,0,0,0,0,3,0,4,532888.0
92,Publicis Sapient,1732984.0,834034.0,1890939.0,0,0,0,0,0,0,0,0,0,1,0,8,1120128.0
93,Data Sutram,574992.0,335212.0,840000.0,0,0,0,0,0,0,0,0,0,0,0,4,449384.0
94,Algo8.ai,752353.0,195436.0,1700000.0,1,0,1,0,0,0,0,0,1,0,0,3,694469.0
95,J.P. Morgan,2023771.0,685377.0,3000000.0,1,0,0,0,0,0,0,0,1,0,1,8,1296225.0
96,iNeuron,617007.0,186897.0,1291000.0,0,0,1,0,0,0,0,0,0,1,0,4,535367.0
97,Hewlett Packard Enterprise | HPE,2225208.0,994784.0,3227501.0,1,0,0,0,0,0,0,0,0,0,1,8,1161343.0
98,Noodle.ai,1727854.0,1363658.0,3062567.0,1,0,0,1,1,1,1,0,0,0,1,9,1239988.0
99,Quantiphi,985263.0,728593.0,1664420.0,1,0,1,0,0,0,0,0,0,0,1,4,662696.0
100,HDFC Standard Life Insurance,1236059.0,700126.0,2827709.0,1,0,1,0,0,0,1,0,0,0,1,6,1181126.0
101,Michelin,1188978.0,629415.0,1601637.0,1,0,0,0,0,0,0,0,0,0,0,6,1045900.0
102,R Systems,1850016.0,856349.0,3227501.0,1,0,1,0,0,0,0,0,1,2,0,10,901721.0
103,Xalt Analytics,537369.0,269525.0,918834.0,1,1,1,0,0,0,0,0,0,0,1,3,696427.0
104,Mphasis,856165.0,487711.0,1424613.0,0,0,1,0,0,0,0,0,1,1,1,3,777814.0
105,ITC Infotech,493587.0,424624.0,1061664.0,0,0,1,0,0,0,0,0,0,1,0,2,249532.0
106,Decision Point,1073877.0,646587.0,1516361.0,0,0,0,0,0,0,0,0,0,0,1,6,1215500.0
107,Vodafone,975655.0,511687.0,2641768.0,0,1,0,0,0,0,0,0,0,0,1,4,721026.0
108,LinkedIn,2004634.0,300000.0,2694111.0,1,0,1,0,0,0,0,0,0,2,0,7,947730.0
109,TuringMinds.Ai,500000.0,180000.0,508032.0,1,0,1,0,0,0,1,0,0,0,1,3,700105.0
110,Claim Genius,1409550.0,665120.0,2648074.0,1,0,0,0,0,0,0,0,0,0,0,9,1063668.0
111,LatentView Analytics,780397.0,245175.0,1968964.0,0,0,0,0,0,0,1,0,0,0,1,4,738270.0
112,Robert Bosch India,1079474.0,477702.0,1400000.0,1,0,1,0,0,0,0,1,0,2,0,6,1019499.0
114,American Express,1756642.0,1279175.0,2240678.0,1,0,0,0,0,0,0,0,0,0,1,8,1152350.0
115,ICICI Bank,1027344.0,221846.0,1664420.0,0,1,1,0,0,0,0,1,0,2,0,5,617017.0
116,SG Analytics,847552.0,682362.0,1018490.0,1,0,1,0,0,0,0,0,1,0,0,4,372560.0
117,KPIT Technologies,1000000.0,480000.0,2235342.0,0,1,1,0,0,0,0,0,0,2,1,6,1165537.0
119,Innodatatics,860322.0,243855.0,1249016.0,1,0,1,0,0,0,0,0,1,0,0,4,636162.0
120,Sutherland,854206.0,358181.0,1486184.0,1,1,1,0,0,0,0,0,0,2,1,4,725983.0
121,EMPLOYERS,612556.0,204839.0,3737932.0,1,0,1,0,0,0,0,1,0,2,1,3,697311.0
122,Incedo,1535062.0,570206.0,2000000.0,0,0,1,0,0,0,0,0,0,1,0,10,1090740.0
125,Caterpillar,1266930.0,533108.0,4000000.0,1,0,1,0,0,0,0,1,1,0,0,6,865368.0
126,TheMathCompany,615008.0,469144.0,1100000.0,1,1,1,0,0,0,0,1,1,0,0,4,449455.0
127,Idexcel,537917.0,441825.0,1453640.0,1,1,0,1,0,0,1,0,0,0,0,4,343974.0
128,Eaton,1219277.0,1050190.0,1552560.0,1,0,1,0,0,0,0,0,1,0,0,5,384049.0
130,MakeMyTrip,1332771.0,631179.0,3292262.0,0,0,0,0,0,0,0,0,0,0,1,10,1217787.0
131,Karvy Group,665583.0,465768.0,1470032.0,1,1,1,0,0,0,1,1,0,6,0,4,569144.0
133,MAERSK,2289863.0,1531283.0,2676090.0,0,0,1,0,0,0,0,1,0,0,0,10,1029362.0
135,KPMG,849248.0,511687.0,2500000.0,0,0,0,0,0,0,0,0,0,2,0,3,416411.0
136,Zee Entertainment Enterprises Ltd.,1828916.0,1051964.0,3648898.0,0,0,1,0,0,0,0,0,0,2,1,8,1218261.0
137,Schlumberger,2123120.0,1051965.0,3309144.0,1,0,1,0,0,0,0,0,0,0,1,8,1191642.0
138,CARS24.com,1132855.0,904867.0,1573861.0,0,1,0,0,0,0,0,0,0,2,0,5,313982.0
139,GlobusSoft,349724.0,258200.0,583824.0,0,0,1,0,0,0,0,0,0,1,0,2,208762.0
140,Vodafone Idea,1968026.0,555321.0,2562534.0,1,0,0,0,0,0,0,0,0,0,1,10,1113961.0
141,Google,900561.0,203698.0,2166230.0,1,1,0,1,0,1,1,1,0,0,1,3,698031.0
142,Tata Consultancy Services,175948.0,167325.0,159625.0,0,0,1,0,0,0,0,0,1,2,0,0,201231.0
143,Microsoft,166676.0,189981.0,169334.0,1,0,1,0,0,0,0,0,0,1,0,0,198281.0
144,Accenture,150197.0,181731.0,156381.0,1,1,1,0,0,0,0,0,0,0,0,0,158861.0
145,The Sparks Foundation,198877.0,162600.0,187210.0,1,0,1,0,0,0,0,0,0,2,1,0,107389.0
146,IBM,164280.0,166155.0,194197.0,1,0,0,0,0,0,0,0,1,4,0,0,183541.0
147,Maxgen Technologies,187900.0,168284.0,199629.0,1,1,1,0,0,1,0,1,0,0,0,0,125974.0
148,Webtunix,154786.0,186574.0,162659.0,1,1,0,0,0,1,1,0,0,0,0,0,270383.0
149,First Student,152968.0,169562.0,161501.0,0,0,0,0,0,0,0,0,0,0,0,0,187894.0
150,Blackcoffer,177767.0,164736.0,190039.0,1,0,1,0,0,0,0,0,1,0,0,0,138285.0
151,FlyNava Technologies,172579.0,169504.0,191859.0,1,1,1,0,0,0,0,1,0,0,0,0,136070.0
152,Alphabet (GB),408328.0,489585.0,531234.0,0,0,0,0,0,0,0,0,0,0,0,1,110040.0
153,Poornima University,397498.0,478220.0,515525.0,0,0,1,0,0,0,0,0,0,0,0,1,175203.0
154,Shiva,416349.0,500793.0,540080.0,0,0,0,0,0,0,0,0,0,2,1,1,223851.0
155,DJ Alexander,397464.0,478580.0,515080.0,1,0,0,0,0,0,0,0,0,0,0,1,282471.0
156,Aon,449043.0,539404.0,583204.0,1,0,1,0,0,0,0,0,1,1,0,0,136383.0
157,HH Fremer Architects,396180.0,475325.0,515125.0,0,0,0,0,0,0,0,0,0,0,1,2,298925.0
158,ABC do ABC,424040.0,506751.0,553350.0,1,0,1,0,0,0,0,0,1,0,1,0,284952.0
159,Equifax,862288.0,1034427.0,1121293.0,0,0,0,0,0,0,0,0,0,0,0,3,545948.0
160,Fresher Zones,846433.0,1011720.0,1104362.0,1,0,1,0,0,1,1,1,0,0,0,3,535196.0
161,Priyank,800548.0,952780.0,1048590.0,0,0,1,0,0,0,0,0,1,4,1,3,761309.0
162,Cepheid,799626.0,955167.0,1043899.0,1,1,1,0,0,0,0,1,0,2,0,4,302753.0
163,T-Mobile,847273.0,1011072.0,1107111.0,0,0,0,0,0,0,0,0,0,1,1,4,620768.0
164,BI-LO,812994.0,972201.0,1060284.0,0,0,0,0,0,0,0,0,0,0,1,4,604981.0
165,Techstar Consulting,858186.0,1022652.0,1122813.0,1,0,1,0,0,0,0,0,1,1,0,3,434177.0
166,Pasarpolis,805190.0,962441.0,1050535.0,0,0,0,0,0,0,0,0,0,0,0,4,413065.0
167,Suraj School,505567.0,602852.0,661065.0,0,0,1,0,0,0,0,0,0,0,0,4,378391.0
168,Advisory Board,481649.0,574206.0,629916.0,1,1,0,0,0,0,0,0,1,0,1,0,243865.0
169,ValueMomentum,500396.0,602969.0,648021.0,0,0,0,0,0,0,0,0,0,0,1,4,790640.0
170,Kumaraguru College of Technology,499532.0,596430.0,652399.0,0,0,0,0,0,0,0,0,0,0,1,2,259614.0
171,NextGen Healthcare,647737.0,774753.0,844589.0,1,1,1,1,1,1,1,1,0,0,1,4,738352.0
172,TVS Emerald,1111609.0,1342406.0,1436617.0,0,0,1,0,0,0,0,0,0,1,1,5,710953.0
173,IBM Interactive Experience,669799.0,805451.0,869046.0,1,0,0,0,0,0,0,0,0,6,0,4,358293.0
174,Tata Capital,956752.0,1137530.0,1254351.0,1,0,1,1,0,0,1,0,0,0,0,3,451048.0
175,Atkins,1304071.0,1579132.0,1681046.0,1,0,0,0,0,0,0,0,0,1,1,8,1178945.0
176,DataFactZ,280830.0,336063.0,366011.0,1,0,1,0,0,0,0,0,0,0,1,0,131941.0
177,Nayara Energy,878007.0,1052194.0,1142823.0,1,1,1,0,1,1,1,0,0,6,0,4,425010.0
178,Amnet Group,687580.0,822892.0,896057.0,1,1,0,1,1,1,1,0,0,0,0,3,520109.0
179,CDS (Club Demonstration Services),1769055.0,2113166.0,2309472.0,0,0,1,0,0,0,0,0,0,2,0,9,1134995.0
180,Vickerstock,195900.0,168940.0,176574.0,0,0,0,0,0,0,0,0,0,0,1,0,263266.0
181,Mindtree Consultants,751530.0,896464.0,982361.0,0,0,0,0,0,0,0,0,0,0,0,4,539659.0
182,myGate,1112600.0,1327728.0,1453772.0,0,0,0,0,0,0,0,0,0,0,1,6,1116465.0
183,Glorious Insight,1111470.0,1335799.0,1442876.0,1,0,1,0,0,1,1,0,0,6,0,6,858122.0
184,Chirag,295574.0,352328.0,386607.0,0,0,0,0,0,0,0,0,0,0,1,0,231027.0
185,Maveric Systems,641130.0,768864.0,833960.0,1,1,1,0,0,0,0,0,0,2,1,4,756431.0
186,Indecomm Global Services,1240412.0,1488132.0,1612897.0,0,0,1,0,0,0,0,0,1,1,0,6,1081047.0
187,Translational Health Science and Technology Institute,780163.0,927793.0,1022615.0,0,1,0,0,0,0,0,0,0,0,0,4,308616.0
188,Aggregate Intelligence,253128.0,303783.0,329037.0,0,0,0,0,0,0,0,0,0,0,1,0,265663.0
189,Ameriprise,603190.0,722430.0,785545.0,0,0,0,0,0,0,0,0,0,6,0,4,570205.0
190,DuPont,1350912.0,1619521.0,1757758.0,0,0,1,0,0,0,0,0,1,4,0,9,1101491.0
191,Vinod,326188.0,392689.0,422782.0,1,0,1,0,0,0,0,0,0,2,0,0,163422.0
192,Hexagon,767480.0,925032.0,993668.0,0,0,0,0,0,0,0,0,0,0,0,3,676724.0
193,Softtronix IT Solution,155117.0,186289.0,201504.0,0,0,1,0,0,0,0,0,0,2,1,0,212522.0
194,Netcracker Technology,1495754.0,1795997.0,1943388.0,1,1,1,0,0,0,0,0,0,0,1,7,1100411.0
195,Moody's Investors Service,1024598.0,1239422.0,1322072.0,0,0,0,0,0,0,0,0,0,0,0,6,984978.0
196,OSG Analytics,757506.0,916557.0,977207.0,0,0,0,0,0,0,0,0,0,0,0,3,599192.0
197,Xoanon Analytics,1031710.0,1240523.0,1338751.0,1,1,1,0,0,0,0,1,1,0,0,6,1018402.0
198,JAGUAR LAND ROVER LIMITED,1622818.0,1962508.0,2094536.0,1,0,0,0,0,0,0,0,1,4,0,9,1148322.0
199,Senquire Analytics,899604.0,1077323.0,1171688.0,1,0,1,0,0,0,0,0,0,2,1,4,775168.0
200,Inceptua,258379.0,309602.0,336346.0,0,0,1,0,0,0,0,0,0,0,1,0,122443.0
201,ABC Ltd,1228322.0,1476122.0,1594682.0,1,0,1,0,0,0,0,1,1,1,1,6,1237229.0
202,smartData Enterprises,319219.0,380772.0,417276.0,1,0,0,0,0,0,0,1,0,0,1,0,194530.0
